URL,Query
https://en.wikipedia.org/wiki/Algeria,algeria
https://en.wikipedia.org/wiki/Algerian War,algeria
https://en.wikipedia.org/wiki/French Algeria,algeria
https://en.wikipedia.org/wiki/Assam,assam
https://en.wikipedia.org/wiki/Assam Rifles,assam
https://en.wikipedia.org/wiki/List of governors of Assam,assam
https://en.wikipedia.org/wiki/Afghanistan,afghanistan
https://en.wikipedia.org/wiki/War in Afghanistan (2001–2021),afghanistan
https://en.wikipedia.org/wiki/Soviet–Afghan War,afghanistan
https://en.wikipedia.org/wiki/Australian,australian
https://en.wikipedia.org/wiki/Australians,australian
https://en.wikipedia.org/wiki/Australia,australian
https://en.wikipedia.org/wiki/Armenia,armenia
https://en.wikipedia.org/wiki/Armenians,armenia
https://en.wikipedia.org/wiki/Armenian Apostolic Church,armenia
https://en.wikipedia.org/wiki/Africa,africa
https://en.wikipedia.org/wiki/South Africa,africa
https://en.wikipedia.org/wiki/West Africa,africa
https://en.wikipedia.org/wiki/Australia,australia
https://en.wikipedia.org/wiki/Western Australia,australia
https://en.wikipedia.org/wiki/Order of Australia,australia
https://en.wikipedia.org/wiki/Arabic,arabic
https://en.wikipedia.org/wiki/Arabic alphabet,arabic
https://en.wikipedia.org/wiki/Arabic numerals,arabic
https://en.wikipedia.org/wiki/Argentina,argentina
https://en.wikipedia.org/wiki/Argentines,argentina
https://en.wikipedia.org/wiki/Argentina national football team,argentina
https://en.wikipedia.org/wiki/Agartala,agartala
https://en.wikipedia.org/wiki/Maharaja Bir Bikram Airport,agartala
https://en.wikipedia.org/wiki/Agartala Book Fair,agartala
https://en.wikipedia.org/wiki/Asia,asia
https://en.wikipedia.org/wiki/Southeast Asia,asia
https://en.wikipedia.org/wiki/East Asia,asia
https://en.wikipedia.org/wiki/Athens,athens
"https://en.wikipedia.org/wiki/Athens, Georgia",athens
https://en.wikipedia.org/wiki/Bangalore,bengaluru
https://en.wikipedia.org/wiki/Bengaluru FC,bengaluru
https://en.wikipedia.org/wiki/Bangalore City railway station,bengaluru
https://en.wikipedia.org/wiki/Berlin,berlin
"https://en.wikipedia.org/wiki/Berlin, Berlin",berlin
https://en.wikipedia.org/wiki/Berlin Wall,berlin
https://en.wikipedia.org/wiki/Bihar,bihar
https://en.wikipedia.org/wiki/Bihar Legislative Assembly,bihar
https://en.wikipedia.org/wiki/List of governors of Bihar,bihar
https://en.wikipedia.org/wiki/Bhubaneswar,bhubaneswar
https://en.wikipedia.org/wiki/Odisha,bhubaneswar
https://en.wikipedia.org/wiki/Bhubaneswar railway station,bhubaneswar
https://en.wikipedia.org/wiki/Budapest,budapest
https://en.wikipedia.org/wiki/Budapest Memorandum,budapest
https://en.wikipedia.org/wiki/The Grand Budapest Hotel,budapest
https://en.wikipedia.org/wiki/Beijing,beijing
"https://en.wikipedia.org/wiki/Beijing Beijing, I Love Beijing",beijing
https://en.wikipedia.org/wiki/Beijing Olympics,beijing
https://en.wikipedia.org/wiki/Brazil,brazil
https://en.wikipedia.org/wiki/Brazil national football team,brazil
https://en.wikipedia.org/wiki/Brazilian,brazil
https://en.wikipedia.org/wiki/Bangladesh,bangladesh
https://en.wikipedia.org/wiki/Bangladesh Liberation War,bangladesh
https://en.wikipedia.org/wiki/Bangladeshis,bangladesh
https://en.wikipedia.org/wiki/Bangkok,bangkok
https://en.wikipedia.org/wiki/Bangkok Airways,bangkok
https://en.wikipedia.org/wiki/MRT (Bangkok),bangkok
https://en.wikipedia.org/wiki/Belgrade,belgrade
https://en.wikipedia.org/wiki/Robert Belgrade,belgrade
https://en.wikipedia.org/wiki/Serbia,belgrade
https://en.wikipedia.org/wiki/Croatian,croatian
https://en.wikipedia.org/wiki/Croatia,croatian
https://en.wikipedia.org/wiki/Serbo-Croatian,croatian
https://en.wikipedia.org/wiki/Chhattisgarh,chhattisgarh
https://en.wikipedia.org/wiki/Chhattisgarh Legislative Assembly,chhattisgarh
"https://en.wikipedia.org/wiki/Bilaspur, Chhattisgarh",chhattisgarh
https://en.wikipedia.org/wiki/China,china
https://en.wikipedia.org/wiki/History of China,china
https://en.wikipedia.org/wiki/Taiwan,china
https://en.wikipedia.org/wiki/Croatia,croatia
https://en.wikipedia.org/wiki/Croats,croatia
https://en.wikipedia.org/wiki/Croatian,croatia
https://en.wikipedia.org/wiki/Canada,canada
https://en.wikipedia.org/wiki/Canadians,canada
https://en.wikipedia.org/wiki/Provinces and territories of Canada,canada
https://en.wikipedia.org/wiki/Canberra,canberra
https://en.wikipedia.org/wiki/English Electric Canberra,canberra
https://en.wikipedia.org/wiki/Martin B-57 Canberra,canberra
https://en.wikipedia.org/wiki/Cairo,cairo
"https://en.wikipedia.org/wiki/Cairo, Illinois",cairo
https://en.wikipedia.org/wiki/Cairo International Airport,cairo
https://en.wikipedia.org/wiki/Chandigarh,chandigarh
https://en.wikipedia.org/wiki/Chandigarh Amritsar Chandigarh,chandigarh
https://en.wikipedia.org/wiki/Chandigarh Kare Aashiqui,chandigarh
https://en.wikipedia.org/wiki/Dollar,dollar
https://en.wikipedia.org/wiki/United States dollar,dollar
https://en.wikipedia.org/wiki/Canadian dollar,dollar
https://en.wikipedia.org/wiki/Dynamic random-access memory,dram
https://en.wikipedia.org/wiki/Dram,dram
https://en.wikipedia.org/wiki/Dram (unit),dram
https://en.wikipedia.org/wiki/Dutch,dutch
https://en.wikipedia.org/wiki/Dutch language,dutch
https://en.wikipedia.org/wiki/Holland,dutch
https://en.wikipedia.org/wiki/Dhaka,dhaka
https://en.wikipedia.org/wiki/Dhaka Division,dhaka
"https://en.wikipedia.org/wiki/Shaheed Minar, Dhaka",dhaka
https://en.wikipedia.org/wiki/Denmark,denmark
https://en.wikipedia.org/wiki/Danish,denmark
https://en.wikipedia.org/wiki/Greenland,denmark
https://en.wikipedia.org/wiki/Dinar,dinar
https://en.wikipedia.org/wiki/Kuwaiti dinar,dinar
https://en.wikipedia.org/wiki/Jordanian dinar,dinar
https://en.wikipedia.org/wiki/Delhi,delhi
https://en.wikipedia.org/wiki/New Delhi,delhi
"https://en.wikipedia.org/wiki/Delhi Gate, Delhi",delhi
https://en.wikipedia.org/wiki/Doha,doha
https://en.wikipedia.org/wiki/Doha Metro,doha
https://en.wikipedia.org/wiki/Al Ahli SC (Doha),doha
https://en.wikipedia.org/wiki/Dollar,dollar
https://en.wikipedia.org/wiki/United States dollar,dollar
https://en.wikipedia.org/wiki/Canadian dollar,dollar
https://en.wikipedia.org/wiki/Dispur,dispur
https://en.wikipedia.org/wiki/Guwahati,dispur
https://en.wikipedia.org/wiki/Dispur Assembly constituency,dispur
https://en.wikipedia.org/wiki/Danish,danish
https://en.wikipedia.org/wiki/Denmark,danish
https://en.wikipedia.org/wiki/Danish language,danish
https://en.wikipedia.org/wiki/Europe,europe
https://en.wikipedia.org/wiki/Eastern Europe,europe
https://en.wikipedia.org/wiki/Western Europe,europe
https://en.wikipedia.org/wiki/English,english
https://en.wikipedia.org/wiki/English language,english
https://en.wikipedia.org/wiki/Old English,english
https://en.wikipedia.org/wiki/England,england
https://en.wikipedia.org/wiki/New England,england
https://en.wikipedia.org/wiki/Church of England,england
https://en.wikipedia.org/wiki/Egypt,egypt
https://en.wikipedia.org/wiki/Ancient Egypt,egypt
https://en.wikipedia.org/wiki/Egyptian hieroglyphs,egypt
https://en.wikipedia.org/wiki/Euro,euro
https://en.wikipedia.org/wiki/UEFA Euro 2020,euro
https://en.wikipedia.org/wiki/UEFA Euro 2016,euro
https://en.wikipedia.org/wiki/Elephant,elephant
https://en.wikipedia.org/wiki/Asian elephant,elephant
https://en.wikipedia.org/wiki/African bush elephant,elephant
https://en.wikipedia.org/wiki/Ecuador,ecuador
https://en.wikipedia.org/wiki/President of Ecuador,ecuador
https://en.wikipedia.org/wiki/COVID-19 pandemic in Ecuador,ecuador
https://en.wikipedia.org/wiki/France,france
https://en.wikipedia.org/wiki/Vichy France,france
https://en.wikipedia.org/wiki/France national football team,france
https://en.wikipedia.org/wiki/French,french
https://en.wikipedia.org/wiki/France,french
https://en.wikipedia.org/wiki/French Revolution,french
https://en.wikipedia.org/wiki/German,german
https://en.wikipedia.org/wiki/Germany,german
https://en.wikipedia.org/wiki/German language,german
https://en.wikipedia.org/wiki/Greece,greece
https://en.wikipedia.org/wiki/Ancient Greece,greece
https://en.wikipedia.org/wiki/Greeks,greece
https://en.wikipedia.org/wiki/Goa,goa
https://en.wikipedia.org/wiki/Goa Legislative Assembly,goa
https://en.wikipedia.org/wiki/Gandhinagar,gandhinagar
https://en.wikipedia.org/wiki/IIT Gandhinagar,gandhinagar
https://en.wikipedia.org/wiki/Gandhinagar district,gandhinagar
https://en.wikipedia.org/wiki/Gujarat,gujurat
https://en.wikipedia.org/wiki/Chaudhri,gujurat
https://en.wikipedia.org/wiki/Gujarat Samachar,gujurat
https://en.wikipedia.org/wiki/Germany,germany
https://en.wikipedia.org/wiki/West Germany,germany
https://en.wikipedia.org/wiki/East Germany,germany
https://en.wikipedia.org/wiki/Hyderabad,hyderabad
https://en.wikipedia.org/wiki/Hyderabad State,hyderabad
"https://en.wikipedia.org/wiki/Hyderabad, Sindh",hyderabad
https://en.wikipedia.org/wiki/Hanoi,hanoi
https://en.wikipedia.org/wiki/Hanoi Rocks,hanoi
https://en.wikipedia.org/wiki/Tower of Hanoi,hanoi
https://en.wikipedia.org/wiki/Hungary,hungary
https://en.wikipedia.org/wiki/Austria-Hungary,hungary
https://en.wikipedia.org/wiki/Hungarians,hungary
https://en.wikipedia.org/wiki/Italian,italian
https://en.wikipedia.org/wiki/Italy,italian
https://en.wikipedia.org/wiki/Italians,italian
https://en.wikipedia.org/wiki/Irish,irish
https://en.wikipedia.org/wiki/Ireland,irish
https://en.wikipedia.org/wiki/Irish people,irish
https://en.wikipedia.org/wiki/Italy,italy
https://en.wikipedia.org/wiki/Italians,italy
https://en.wikipedia.org/wiki/Kingdom of Italy,italy
https://en.wikipedia.org/wiki/Islamabad,islamabad
https://en.wikipedia.org/wiki/Islamabad United,islamabad
https://en.wikipedia.org/wiki/Islamabad Capital Territory,islamabad
https://en.wikipedia.org/wiki/India,india
"https://en.wikipedia.org/wiki/Punjab, India",india
https://en.wikipedia.org/wiki/Demographics of India,india
https://en.wikipedia.org/wiki/Indian,indian
https://en.wikipedia.org/wiki/Indian Army,indian
https://en.wikipedia.org/wiki/Indian people,indian
https://en.wikipedia.org/wiki/Iran,iran
https://en.wikipedia.org/wiki/Iranians,iran
https://en.wikipedia.org/wiki/Iran–Iraq War,iran
https://en.wikipedia.org/wiki/Ireland,ireland
https://en.wikipedia.org/wiki/Republic of Ireland,ireland
https://en.wikipedia.org/wiki/Northern Ireland,ireland
https://en.wikipedia.org/wiki/Jaipur,jaipur
"https://en.wikipedia.org/wiki/City Palace, Jaipur",jaipur
https://en.wikipedia.org/wiki/Jaipur International Airport,jaipur
https://en.wikipedia.org/wiki/Japanese,japanese
https://en.wikipedia.org/wiki/Japan,japanese
https://en.wikipedia.org/wiki/Japanese language,japanese
https://en.wikipedia.org/wiki/Jharkhand,jharkhand
https://en.wikipedia.org/wiki/Jharkhand Legislative Assembly,jharkhand
https://en.wikipedia.org/wiki/List of governors of Jharkhand,jharkhand
https://en.wikipedia.org/wiki/Japan,japan
https://en.wikipedia.org/wiki/Empire of Japan,japan
https://en.wikipedia.org/wiki/Japanese language,japan
https://en.wikipedia.org/wiki/Kabul,kabul
https://en.wikipedia.org/wiki/Fall of Kabul (2021),kabul
https://en.wikipedia.org/wiki/Ali Baba (Indian TV series),kabul
https://en.wikipedia.org/wiki/Kyiv,kiev
https://en.wikipedia.org/wiki/Chicken Kiev,kiev
https://en.wikipedia.org/wiki/KyivNotKiev,kiev
https://en.wikipedia.org/wiki/Kathmandu,kathmandu
https://en.wikipedia.org/wiki/Kathmandu Valley,kathmandu
https://en.wikipedia.org/wiki/Kathmandu Connection,kathmandu
https://en.wikipedia.org/wiki/Kerala,kerala
https://en.wikipedia.org/wiki/Kerala Awards,kerala
https://en.wikipedia.org/wiki/Thiruvananthapuram,kerala
https://en.wikipedia.org/wiki/Khartoum,khartoum
https://en.wikipedia.org/wiki/Khartoum (film),khartoum
https://en.wikipedia.org/wiki/Siege of Khartoum,khartoum
https://en.wikipedia.org/wiki/Karnataka,karnataka
https://en.wikipedia.org/wiki/Karnataka Legislative Assembly,karnataka
https://en.wikipedia.org/wiki/2023 Karnataka Legislative Assembly election,karnataka
https://en.wikipedia.org/wiki/Korea,korea
https://en.wikipedia.org/wiki/South Korea,korea
https://en.wikipedia.org/wiki/North Korea,korea
https://en.wikipedia.org/wiki/Krone,krone
https://en.wikipedia.org/wiki/Danish krone,krone
https://en.wikipedia.org/wiki/Norwegian krone,krone
https://en.wikipedia.org/wiki/Kenya,kenya
https://en.wikipedia.org/wiki/You People,kenya
https://en.wikipedia.org/wiki/Kenya Barris,kenya
https://en.wikipedia.org/wiki/Swedish krona,krona
https://en.wikipedia.org/wiki/Krona,krona
https://en.wikipedia.org/wiki/Icelandic króna,krona
https://en.wikipedia.org/wiki/Korean,korean
https://en.wikipedia.org/wiki/Korea,korean
https://en.wikipedia.org/wiki/Korean language,korean
https://en.wikipedia.org/wiki/Lisbon,lisbon
https://en.wikipedia.org/wiki/1755 Lisbon earthquake,lisbon
https://en.wikipedia.org/wiki/Lisbon Airport,lisbon
https://en.wikipedia.org/wiki/London,london
https://en.wikipedia.org/wiki/Greater London,london
https://en.wikipedia.org/wiki/London Bridge,london
https://en.wikipedia.org/wiki/Latvia,latvia
https://en.wikipedia.org/wiki/Latvians,latvia
https://en.wikipedia.org/wiki/Latvian language,latvia
https://en.wikipedia.org/wiki/Mexico,mexico
https://en.wikipedia.org/wiki/Mexico City,mexico
https://en.wikipedia.org/wiki/New Mexico,mexico
https://en.wikipedia.org/wiki/Mumbai,mumbai
https://en.wikipedia.org/wiki/2008 Mumbai attacks,mumbai
https://en.wikipedia.org/wiki/Delhi–Mumbai Expressway,mumbai
https://en.wikipedia.org/wiki/Maharashtra,maharastra
https://en.wikipedia.org/wiki/Mumbai,maharastra
https://en.wikipedia.org/wiki/Jai Jai Maharashtra Maza,maharastra
https://en.wikipedia.org/wiki/Mexican,mexican
https://en.wikipedia.org/wiki/Mexico,mexican
https://en.wikipedia.org/wiki/Mexican–American War,mexican
https://en.wikipedia.org/wiki/Mouse,mouse
https://en.wikipedia.org/wiki/Mickey Mouse,mouse
https://en.wikipedia.org/wiki/To a Mouse,mouse
https://en.wikipedia.org/wiki/Madrid,madrid
https://en.wikipedia.org/wiki/Real Madrid CF,madrid
https://en.wikipedia.org/wiki/Atlético Madrid,madrid
https://en.wikipedia.org/wiki/Nepal,nepal
https://en.wikipedia.org/wiki/Religion in Nepal,nepal
https://en.wikipedia.org/wiki/Dipendra of Nepal,nepal
https://en.wikipedia.org/wiki/Norway,norway
https://en.wikipedia.org/wiki/Norwegians,norway
https://en.wikipedia.org/wiki/Norwegian,norway
https://en.wikipedia.org/wiki/Norwegian,norwegian
https://en.wikipedia.org/wiki/Norway,norwegian
https://en.wikipedia.org/wiki/Norwegian language,norwegian
https://en.wikipedia.org/wiki/Nigeria,nigeria
https://en.wikipedia.org/wiki/Nigerians,nigeria
https://en.wikipedia.org/wiki/Federal government of Nigeria,nigeria
https://en.wikipedia.org/wiki/Nigerian naira,naira
https://en.wikipedia.org/wiki/Naira Marley,naira
https://en.wikipedia.org/wiki/Nigerian one-thousand-naira note,naira
https://en.wikipedia.org/wiki/Nairobi,nairobi
https://en.wikipedia.org/wiki/Nairobi DusitD2 complex attack,nairobi
https://en.wikipedia.org/wiki/Westgate shopping mall attack,nairobi
https://en.wikipedia.org/wiki/Netherlands,netherlands
https://en.wikipedia.org/wiki/Kingdom of the Netherlands,netherlands
https://en.wikipedia.org/wiki/Netherlands national football team,netherlands
https://en.wikipedia.org/wiki/Ottawa,ottawa
https://en.wikipedia.org/wiki/Ottawa Senators,ottawa
https://en.wikipedia.org/wiki/Canada convoy protest,ottawa
https://en.wikipedia.org/wiki/Odisha,odisha
https://en.wikipedia.org/wiki/Odisha FC,odisha
https://en.wikipedia.org/wiki/Odisha Legislative Assembly,odisha
https://en.wikipedia.org/wiki/Oslo,oslo
https://en.wikipedia.org/wiki/University of Oslo,oslo
https://en.wikipedia.org/wiki/Paris,paris
https://en.wikipedia.org/wiki/Paris Hilton,paris
https://en.wikipedia.org/wiki/Punjab,punjab
"https://en.wikipedia.org/wiki/Punjab, India",punjab
"https://en.wikipedia.org/wiki/Punjab, Pakistan",punjab
https://en.wikipedia.org/wiki/Poland,poland
https://en.wikipedia.org/wiki/Invasion of Poland,poland
https://en.wikipedia.org/wiki/Kingdom of Poland,poland
https://en.wikipedia.org/wiki/Pakistan,pakistan
https://en.wikipedia.org/wiki/Pakistan Super League,pakistan
"https://en.wikipedia.org/wiki/Punjab, Pakistan",pakistan
https://en.wikipedia.org/wiki/Portuguese,portuguese
https://en.wikipedia.org/wiki/Portuguese language,portuguese
https://en.wikipedia.org/wiki/Portugal,portuguese
https://en.wikipedia.org/wiki/Polish,polish
https://en.wikipedia.org/wiki/Polish language,polish
https://en.wikipedia.org/wiki/Polish people,polish
https://en.wikipedia.org/wiki/Peso,peso
https://en.wikipedia.org/wiki/Philippine peso,peso
https://en.wikipedia.org/wiki/Mexican peso,peso
https://en.wikipedia.org/wiki/Panaji,panaji
https://en.wikipedia.org/wiki/Goa,panaji
https://en.wikipedia.org/wiki/Reserve Bank of India,panaji
https://en.wikipedia.org/wiki/Patna,patna
https://en.wikipedia.org/wiki/IIT Patna,patna
https://en.wikipedia.org/wiki/Patna Metro,patna
https://en.wikipedia.org/wiki/Portugal,portugal
https://en.wikipedia.org/wiki/Portuguese language,portugal
https://en.wikipedia.org/wiki/Portuguese,portugal
https://en.wikipedia.org/wiki/Quito,quito
https://en.wikipedia.org/wiki/L.D.U. Quito,quito
https://en.wikipedia.org/wiki/Qatar,qatar
https://en.wikipedia.org/wiki/Qatar Airways,qatar
https://en.wikipedia.org/wiki/2022 FIFA World Cup,qatar
https://en.wikipedia.org/wiki/Riga,riga
https://en.wikipedia.org/wiki/The Dogs of Riga,riga
https://en.wikipedia.org/wiki/Riga International Airport,riga
https://en.wikipedia.org/wiki/Russian,russian
https://en.wikipedia.org/wiki/Russia,russian
https://en.wikipedia.org/wiki/Russians,russian
https://en.wikipedia.org/wiki/Real,real
https://en.wikipedia.org/wiki/Real Madrid CF,real
https://en.wikipedia.org/wiki/Real Real Real,real
https://en.wikipedia.org/wiki/Rome,rome
https://en.wikipedia.org/wiki/No Rome,rome
https://en.wikipedia.org/wiki/Ancient Rome,rome
https://en.wikipedia.org/wiki/Rupee,rupee
https://en.wikipedia.org/wiki/Indian rupee,rupee
https://en.wikipedia.org/wiki/Indian rupee sign,rupee
https://en.wikipedia.org/wiki/Ruble,ruble
https://en.wikipedia.org/wiki/Russian ruble,ruble
https://en.wikipedia.org/wiki/Soviet ruble,ruble
https://en.wikipedia.org/wiki/Raipur,raipur
https://en.wikipedia.org/wiki/Naya Raipur,raipur
https://en.wikipedia.org/wiki/Qila Raipur,raipur
https://en.wikipedia.org/wiki/Ranchi,ranchi
https://en.wikipedia.org/wiki/Jharkhand,ranchi
https://en.wikipedia.org/wiki/Ranchi University,ranchi
https://en.wikipedia.org/wiki/Russia,russia
https://en.wikipedia.org/wiki/Russians,russia
https://en.wikipedia.org/wiki/2022 Russian invasion of Ukraine,russia
https://en.wikipedia.org/wiki/Rial,rial
https://en.wikipedia.org/wiki/Monica Rial,rial
https://en.wikipedia.org/wiki/Iranian rial,rial
https://en.wikipedia.org/wiki/Rajasthan,rajasthan
https://en.wikipedia.org/wiki/Rajasthan Royals,rajasthan
https://en.wikipedia.org/wiki/Rajasthan High Court,rajasthan
https://en.wikipedia.org/wiki/Swedish,swedish
https://en.wikipedia.org/wiki/Sweden,swedish
https://en.wikipedia.org/wiki/Swedish language,swedish
https://en.wikipedia.org/wiki/Spain,spain
https://en.wikipedia.org/wiki/Spanish,spain
https://en.wikipedia.org/wiki/Spain national football team,spain
https://en.wikipedia.org/wiki/Stockholm,stockholm
https://en.wikipedia.org/wiki/Stockholm syndrome,stockholm
"https://en.wikipedia.org/wiki/Stockholm, Wisconsin",stockholm
https://en.wikipedia.org/wiki/Slovakia,slovakia
https://en.wikipedia.org/wiki/Slovaks,slovakia
https://en.wikipedia.org/wiki/Czechoslovakia,slovakia
https://en.wikipedia.org/wiki/Spanish,spanish
https://en.wikipedia.org/wiki/Spain,spanish
https://en.wikipedia.org/wiki/Spanish Empire,spanish
https://en.wikipedia.org/wiki/Squeak,squeak
https://en.wikipedia.org/wiki/Squeak!,squeak
https://en.wikipedia.org/wiki/Bubble and squeak,squeak
https://en.wikipedia.org/wiki/Sudan,sudan
https://en.wikipedia.org/wiki/South Sudan,sudan
https://en.wikipedia.org/wiki/The Sudans,sudan
https://en.wikipedia.org/wiki/Syria,syria
https://en.wikipedia.org/wiki/Syrian civil war,syria
https://en.wikipedia.org/wiki/2023 Turkey–Syria earthquake,syria
https://en.wikipedia.org/wiki/Slovak,slovakian
https://en.wikipedia.org/wiki/Slovakia,slovakian
https://en.wikipedia.org/wiki/Slovak language,slovakian
https://en.wikipedia.org/wiki/Swiss,swiss
https://en.wikipedia.org/wiki/Swiss International Air Lines,swiss
https://en.wikipedia.org/wiki/Switzerland,swiss
https://en.wikipedia.org/wiki/Switzerland,switzerland
https://en.wikipedia.org/wiki/Swiss,switzerland
https://en.wikipedia.org/wiki/Swiss Hitparade,switzerland
https://en.wikipedia.org/wiki/Sweden,sweden
https://en.wikipedia.org/wiki/Swedish language,sweden
https://en.wikipedia.org/wiki/Swedish,sweden
https://en.wikipedia.org/wiki/Serbia,serbia
https://en.wikipedia.org/wiki/Serbs,serbia
https://en.wikipedia.org/wiki/Serbia and Montenegro,serbia
https://en.wikipedia.org/wiki/Tripura,tripura
https://en.wikipedia.org/wiki/2023 Tripura Legislative Assembly election,tripura
https://en.wikipedia.org/wiki/List of chief ministers of Tripura,tripura
https://en.wikipedia.org/wiki/Telangana,telengana
https://en.wikipedia.org/wiki/Telangana Rebellion,telengana
https://en.wikipedia.org/wiki/Bharat Rashtra Samithi,telengana
https://en.wikipedia.org/wiki/Trumpet,trumpet
https://en.wikipedia.org/wiki/Seven trumpets,trumpet
https://en.wikipedia.org/wiki/Trumpet tree,trumpet
https://en.wikipedia.org/wiki/Thiruvananthapuram,thiruvananthapuram
https://en.wikipedia.org/wiki/Thiruvananthapuram International Airport,thiruvananthapuram
https://en.wikipedia.org/wiki/Thiruvananthapuram–Angamaly Greenfield Highway,thiruvananthapuram
https://en.wikipedia.org/wiki/Thailand,thailand
https://en.wikipedia.org/wiki/Thai,thailand
https://en.wikipedia.org/wiki/Siamese,thailand
https://en.wikipedia.org/wiki/Tokyo,tokyo
https://en.wikipedia.org/wiki/Tokyo Tokyo,tokyo
https://en.wikipedia.org/wiki/Tokyo!,tokyo
https://en.wikipedia.org/wiki/Tehran,tehran
https://en.wikipedia.org/wiki/Tehran Metro,tehran
https://en.wikipedia.org/wiki/Tehran (TV series),tehran
https://en.wikipedia.org/wiki/Thai,thai
https://en.wikipedia.org/wiki/Thailand,thai
https://en.wikipedia.org/wiki/Thai language,thai
https://en.wikipedia.org/wiki/Ukraine,ukraine
https://en.wikipedia.org/wiki/Russo-Ukrainian War,ukraine
https://en.wikipedia.org/wiki/2022 Russian invasion of Ukraine,ukraine
https://en.wikipedia.org/wiki/United States,usa
https://en.wikipedia.org/wiki/USA Today,usa
https://en.wikipedia.org/wiki/Uṣā,usa
https://en.wikipedia.org/wiki/Vietnam,vietnam
https://en.wikipedia.org/wiki/Vietnam War,vietnam
https://en.wikipedia.org/wiki/Vietnam! Vietnam!,vietnam
https://en.wikipedia.org/wiki/Japanese yen,yen
https://en.wikipedia.org/wiki/Donnie Yen,yen
